@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.22 0.14 0.01 0.61 0.02
Meek 0.0 0.01 0.01 0.05 0.93
ExploratoryTunnels_App 0.14 0.03 0.01 0.55 0.27
IRC_App 0.05 0.19 0.0 0.32 0.44
IRC_App 0.36 0.28 0.01 0.33 0.02
Eepsites_App 0.06 0.18 0.01 0.56 0.19
I2PSNARK_App 0.5 0.07 0.1 0.1 0.23
ExploratoryTunnels_App 0.37 0.14 0.0 0.46 0.03
Eepsites_App 0.15 0.05 0.0 0.43 0.37
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.27 0.01 0.01 0.69 0.02
ParticipatingTunnels_App 0.07 0.15 0.0 0.73 0.05
I2PSNARK_App 0.06 0.01 0.92 0.0 0.01
IRC_App 0.28 0.17 0.03 0.51 0.01
IRC_App 0.14 0.28 0.03 0.26 0.29
I2PSNARK_App0BW 0.0 0.04 0.02 0.04 0.9
IRC_App 0.55 0.12 0.03 0.17 0.13
Eepsites_App 0.43 0.12 0.03 0.36 0.06
Eepsites_App 0.06 0.2 0.0 0.74 0.0
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.16 0.04 0.0 0.76 0.04
IRC_App 0.39 0.21 0.0 0.31 0.09
IRC_App 0.2 0.06 0.0 0.66 0.08
I2PSNARK_App 0.35 0.1 0.0 0.37 0.18
Eepsites_App 0.64 0.0 0.0 0.36 0.0
ExploratoryTunnels_App 0.43 0.03 0.04 0.49 0.01
IRC_App 0.32 0.07 0.0 0.43 0.18
IRC_App0BW 0.35 0.32 0.0 0.17 0.16
Eepsites_App 0.39 0.15 0.02 0.3 0.14
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
Eepsites_App 0.28 0.16 0.0 0.47 0.09
IRC_App 0.19 0.11 0.0 0.58 0.12
IRC_App 0.05 0.02 0.0 0.2 0.73
I2PSNARK_App0BW 0.0 0.0 0.0 0.01 0.99
ExploratoryTunnels_App 0.33 0.07 0.0 0.44 0.16
IRC_App 0.25 0.29 0.0 0.33 0.13
IRC_App 0.24 0.18 0.0 0.49 0.09
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.18 0.17 0.0 0.55 0.1
Eepsites_App 0.54 0.11 0.02 0.32 0.01
ParticipatingTunnels_App 0.45 0.12 0.27 0.12 0.04
IRC_App 0.47 0.22 0.01 0.26 0.04
IRC_App 0.42 0.12 0.01 0.37 0.08
I2PSNARK_App 0.12 0.03 0.8 0.05 0.0
Flashproxy 0.53 0.23 0.0 0.13 0.11
Eepsites_App 0.18 0.11 0.04 0.32 0.35
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.08 0.15 0.0 0.75 0.02
IRC_App 0.36 0.37 0.0 0.21 0.06
IRC_App 0.03 0.0 0.0 0.12 0.85
Eepsites_App 0.24 0.14 0.0 0.59 0.03
Eepsites_App 0.27 0.06 0.46 0.11 0.1
I2PSNARK_App 0.16 0.02 0.75 0.03 0.04
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
I2PSNARK_App 0.14 0.02 0.79 0.05 0.0
IRC_App 0.27 0.41 0.02 0.26 0.04
Eepsites_App 0.28 0.09 0.04 0.52 0.07
IRC_App 0.24 0.3 0.0 0.29 0.17
Flashproxy 0.54 0.16 0.02 0.17 0.11
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
I2PSNARK_App 0.01 0.0 0.92 0.03 0.04
IRC_App 0.31 0.42 0.03 0.18 0.06
scramblesuit 0.17 0.04 0.0 0.39 0.4
JonDonym 0.42 0.02 0.01 0.49 0.06
ExploratoryTunnels_App 0.34 0.2 0.04 0.35 0.07
IRC_App 0.3 0.07 0.0 0.58 0.05
ParticipatingTunnels_App 0.03 0.23 0.01 0.23 0.5
Eepsites_App 0.12 0.15 0.37 0.34 0.02
Eepsites_App 0.39 0.05 0.18 0.34 0.04
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.3 0.07 0.0 0.5 0.13
I2PSNARK_App0BW 0.07 0.01 0.0 0.39 0.53
ExploratoryTunnels_App 0.1 0.1 0.03 0.6 0.17
IRC_App 0.16 0.03 0.0 0.79 0.02
IRC_App 0.06 0.17 0.01 0.65 0.11
I2PSNARK_App 0.32 0.18 0.24 0.16 0.1
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App0BW 0.4096666666666667 0.16033333333333333 0.01 0.13 0.29
IRC_App 0.36 0.01 0.0 0.62 0.01
I2PSNARK_App 0.14 0.03 0.7 0.08 0.05
Eepsites_App 0.11 0.1 0.0 0.37 0.42
ExploratoryTunnels_App 0.08 0.13 0.0 0.72 0.07
IRC_App 0.25 0.04 0.0 0.7 0.01
Eepsites_App 0.23 0.11 0.02 0.46 0.18
IRC_App 0.01 0.25 0.0 0.64 0.1
