@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
ParticipatingTunnels_App 0.16 0.14 0.07 0.47 0.16
IRC_App 0.07 0.27 0.04 0.58 0.04
ParticipatingTunnels_App 0.06 0.06 0.01 0.57 0.3
ExploratoryTunnels_App 0.04 0.04 0.02 0.66 0.24
IRC_App 0.17 0.18 0.0 0.39 0.26
IRC_App 0.19 0.14 0.06 0.54 0.07
IRC_App 0.12 0.2 0.0 0.5 0.18
Eepsites_App 0.13 0.07 0.0 0.6 0.2
I2PSNARK_App 0.53 0.09 0.09 0.08 0.21
ExploratoryTunnels_App 0.35 0.24 0.01 0.26 0.14
Eepsites_App 0.1 0.09 0.01 0.44 0.36
Eepsites_App 0.05 0.12 0.02 0.63 0.18
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
ExploratoryTunnels_App 0.25 0.21 0.09 0.19 0.26
IRC_App 0.16 0.07 0.02 0.72 0.03
ParticipatingTunnels_App 0.27 0.22 0.02 0.42 0.07
I2PSNARK_App 0.09 0.03 0.87 0.0 0.01
IRC_App 0.14 0.15 0.04 0.57 0.1
Eepsites_App 0.12 0.49 0.02 0.27 0.1
IRC_App 0.1 0.17 0.03 0.51 0.19
ParticipatingTunnels_App 0.02 0.17 0.01 0.25 0.55
ExploratoryTunnels_App 0.06 0.45 0.02 0.31 0.16
IRC_App 0.28 0.25 0.02 0.32 0.13
Eepsites_App 0.21 0.05 0.0 0.33 0.41
Eepsites_App 0.06 0.41 0.02 0.42 0.09
@fold Actual Eepsites_App ExploratoryTunnels_App I2PSNARK_App IRC_App ParticipatingTunnels_App
IRC_App 0.13 0.19 0.01 0.56 0.11
IRC_App 0.17 0.16 0.0 0.48 0.19
IRC_App 0.14 0.13 0.01 0.62 0.1
ExploratoryTunnels_App 0.44 0.06 0.02 0.27 0.21
ParticipatingTunnels_App 0.13 0.28 0.0 0.23 0.36
I2PSNARK_App 0.35 0.15 0.13 0.19 0.18
Eepsites_App 0.51 0.03 0.02 0.4 0.04
