@fold Actual FTE Flashproxy Meek Obfs3 scramblesuit
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
Meek 0.03 0.05 0.92 0.0 0.0
FTE 1.0 0.0 0.0 0.0 0.0
Meek 0.0 0.0 1.0 0.0 0.0
Flashproxy 0.01 0.96 0.01 0.0 0.02
Flashproxy 0.0 1.0 0.0 0.0 0.0
Meek 0.0 0.01 0.99 0.0 0.0
Obfs3 0.0 0.0 0.0 1.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.08 0.76 0.08 0.01 0.07
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
FTE 0.99 0.01 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
FTE 0.71 0.15 0.14 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
FTE 0.87 0.02 0.06 0.0 0.05
FTE 0.54 0.04 0.01 0.06 0.35
Flashproxy 0.01 0.99 0.0 0.0 0.0
FTE 0.96 0.01 0.03 0.0 0.0
FTE 0.94 0.06 0.0 0.0 0.0
FTE 1.0 0.0 0.0 0.0 0.0
Flashproxy 0.01 0.99 0.0 0.0 0.0
scramblesuit 0.19 0.1 0.03 0.02 0.66
FTE 1.0 0.0 0.0 0.0 0.0
scramblesuit 0.32 0.03 0.06 0.0 0.59
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.08 0.87 0.04 0.0 0.01
Flashproxy 0.07 0.88 0.01 0.02 0.02
Flashproxy 0.0 1.0 0.0 0.0 0.0
Flashproxy 0.27 0.71 0.02 0.0 0.0
FTE 1.0 0.0 0.0 0.0 0.0
Meek 0.05 0.03 0.92 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
FTE 1.0 0.0 0.0 0.0 0.0
Meek 0.0 0.84 0.06 0.01 0.09
Flashproxy 0.0 0.96 0.04 0.0 0.0
Meek 0.04 0.12 0.83 0.01 0.0
Obfs3 0.0 0.0 0.0 1.0 0.0
FTE 0.76 0.12 0.12 0.0 0.0
FTE 1.0 0.0 0.0 0.0 0.0
Flashproxy 0.0 1.0 0.0 0.0 0.0
Obfs3 0.0 0.0 0.0 1.0 0.0
Flashproxy 0.02 0.96 0.01 0.0 0.01
